TeamID,CoachName,years_coached
1101,joe_golding,5
1102,dave_pilipovich,7
1103,john_groce,10
1104,avery_johnson,3
1105,donnie_marsh,5
1106,lewis_jackson,13
1107,will_brown,17
1108,montez_robinson,3
1110,mike_brennan,5
1111,jim_fox,4
1112,sean_miller,14
1113,bobby_hurley,5
1114,wes_flanigan,2
1115,george_ivory,10
1116,mike_anderson,16
1117,mike_balado,1
1119,jimmy_allen,2
1120,bruce_pearl,14
1122,matt_figger,1
1123,james_whitford,5
1124,scott_drew,16
1125,rick_byrd,19
1126,ryan_ridder,1
1127,tommy_dempsey,13
1129,leon_rice,8
1130,jim_christian,16
1131,joe_jones,14
1132,michael_huger,3
1133,brian_wardle,8
1135,mike_martin_brn,6
1136,tim_o'shea,17
1137,nathan_davis,3
1138,nate_oats,3
1139,lavall_jordan,2
1140,dave_rose,13
1141,keno_davis,10
1142,joe_callero,10
1143,wyking_jones,1
1144,kevin_mcgeehan,5
1145,reggie_witherspoon,16
1146,russ_pennell,5
1148,donyell_marshall,2
1149,barclay_radebaugh,13
1150,mark_price,3
1150,houston_fancher,10
1151,lamont_paris,1
1152,tracy_dildy,8
1153,mick_cronin,15
1154,duggar_baucom,13
1155,brad_brownell,16
1156,dennis_felton,12
1157,cliff_ellis,31
1158,earl_grant,4
1159,matt_langel,7
1160,tad_boyle,12
1161,larry_eustachy,27
1162,jim_engles,10
1163,kevin_ollie,6
1164,juan_dixon,1
1165,brian_earl,2
1166,greg_mcdermott,17
1167,rod_barnes,19
1168,dedrique_taylor,5
1169,reggie_theus,7
1170,brian_katz,10
1171,david_mclaughlin,2
1172,bob_mckillop,29
1173,anthony_grant,10
1174,martin_ingelsby,2
1175,keith_walker,5
1176,rodney_billups,2
1177,dave_leitao,12
1178,bacari_alexander,2
1179,niko_medved,5
1180,zach_spiker,9
1181,mike_krzyzewski,34
1182,keith_dambrot,16
1183,jay_spoonhour,7
1184,dan_mchale,3
1185,rob_murphy,7
1186,shantay_legans,1
1187,jeff_lebo,20
1187,michael_perry,6
1188,jon_harris,3
1189,matt_matheny,9
1190,steve_forbes,3
1191,marty_simmons,11
1192,greg_herenda,5
1193,sydney_johnson,11
1194,michael_curry,4
1195,joe_dooley,9
1196,michael_white,7
1197,robert_mccullum,8
1198,anthony_evans,11
1199,leonard_hamilton,30
1200,jeff_neubauer,13
1201,rodney_terry,7
1202,bob_richey,1
1203,maurice_joseph,2
1204,mark_byington,5
1205,tim_craft,5
1206,dave_paulsen,3
1207,patrick_ewing,1
1208,mark_fox,14
1209,ron_hunter,20
1210,josh_pastner,9
1211,mark_few,19
1212,donte_jackson,1
1213,dan_majerle,5
1214,edward_joyner,9
1216,john_gallagher,8
1217,tommy_amaker,21
1218,eran_ganot,3
1219,scott_cherry,9
1220,joe_mihalich,20
1221,bill_carmody,20
1222,kelvin_sampson,25
1223,ron_cottrell,11
1224,kevin_nickelberry,11
1225,don_verlin,10
1226,bill_evans,22
1227,steve_mcclain,12
1228,brad_underwood,5
1229,dan_muller,6
1230,ken_burmeister,13
1231,archie_miller,7
1232,greg_lansing,8
1233,tim_cluess,8
1234,fran_mccaffery,22
1235,steve_prohm,7
1236,jon_coffman,4
1237,jason_gardner,4
1238,wayne_brent,5
1239,tony_jasick,7
1240,ray_harper,7
1241,louis_rowe,2
1242,bill_self,25
1243,bruce_weber,20
1244,al_skinner,25
1245,rob_senderoff,7
1246,john_calipari,26
1247,john_giannini,22
1248,fran_o'hanlon,23
1249,tic_price,15
1250,brett_reed,11
1251,ritchie_mckay,14
1252,casey_alexander,7
1253,dan_monson,21
1254,derek_kellogg,10
1255,jayson_gee,5
1256,eric_konkol,3
1257,david_padgett,1
1258,mike_dunlap,4
1259,g_g_smith,5
1260,porter_moser,14
1261,will_wade,5
1262,pat_duquette,5
1263,bob_walsh,4
1264,steve_masiello,7
1265,mike_maker,4
1266,steve_wojciechowski,4
1267,dan_d'antoni,4
1268,mark_turgeon,20
1269,matt_mccall,3
1270,dave_simmons,12
1271,bobby_collins,12
1272,tubby_smith,27
1273,bob_hoffman,15
1274,jim_larranaga,32
1275,jack_owens,1
1276,john_beilein,26
1277,tom_izzo,23
1278,richard_pitino,6
1279,andy_kennedy,13
1280,ben_howland,22
1281,cuonzo_martin,10
1282,kareem_richardson,5
1283,paul_lusk,7
1284,king_rice,7
1285,travis_decuire,4
1286,brian_fish,4
1287,preston_spradlin,2
1288,todd_bozeman,16
1290,andre_payne,4
1291,jamion_christian,6
1292,kermit_davis,20
1293,matt_mcmahon,3
1294,jeff_linder,2
1295,david_richman,4
1296,mark_montgomery,7
1297,john_brannen,3
1298,ed_dechellis,22
1299,jay_joyner,3
1300,levelle_moton,9
1301,kevin_keatts,4
1303,derrin_hansen,7
1304,tim_miles,13
1305,eric_musselman,3
1306,bill_herrion,27
1307,paul_weir,2
1308,chris_jans,2
1309,mark_slessinger,6
1310,chris_casey,5
1311,richie_riley,2
1312,brian_kennedy,2
1313,robert_jones,5
1314,roy_williams,30
1315,brian_jones,10
1316,matthew_driscoll,9
1317,grant_mccasland,2
1318,bill_coen,12
1319,jack_murphy,6
1320,ben_jacobson,12
1321,chris_collins,5
1322,mike_mcconathy,19
1323,mike_brey,23
1324,greg_kampe,19
1325,saul_phillips,11
1326,chris_holtmann,7
1328,lon_kruger,30
1329,michael_boynton,1
1330,jeff_a_jones,26
1331,paul_mills,1
1332,dana_altman,29
1333,wayne_tinkle,12
1334,damon_stoudamire,2
1335,steve_donahue,17
1336,patrick_chambers,9
1337,marty_wilson,8
1338,kevin_stallings,25
1339,terry_porter,2
1340,barret_peery,1
1341,byron_smith,3
1342,dustin_kerns,1
1343,mitch_henderson,7
1344,ed_cooley,12
1345,matt_painter,14
1346,baker_dunleavy,1
1347,mike_jones,7
1348,dan_hurley,8
1349,scott_pera,1
1350,chris_mooney,14
1351,kevin_baggett,6
1352,andrew_toole,8
1353,steve_pikiell,13
1354,murray_garvin,6
1355,t_j_otzelberger,2
1356,barry_hinson,17
1357,anthony_latina,5
1358,jason_hooten,8
1359,scott_padgett,4
1360,lamont_smith,3
1361,brian_dutcher,1
1362,kyle_smith,8
1363,jean_prioleau,1
1364,joe_pasternack,4
1365,herb_sendek,24
1366,horace_broadnax,18
1367,kyle_perry,1
1368,jay_ladner,4
1369,rick_ray,6
1370,jim_hayford,7
1371,kevin_willard,11
1372,kyle_keller,2
1373,jimmy_patsos,14
1374,tim_jankovich,11
1375,matthew_graves,5
1376,frank_martin,11
1377,craig_smith,4
1378,brian_gregory,14
1379,doc_sadler,12
1380,morris_scott,1
1381,todd_simon,3
1382,mark_schmidt,17
1383,glenn_braica,8
1384,rob_krimmel,6
1385,chris_mullin,3
1386,phil_martelli,23
1387,travis_ford,18
1388,randy_bennett,17
1389,john_dunne,12
1390,jerod_haase,6
1391,corey_williams,5
1392,jeff_boals,2
1393,jim_boeheim,34
1394,willis_wilson,23
1395,jamie_dixon,15
1396,fran_dunphy,29
1397,rick_barnes,31
1398,dana_ford,4
1399,steve_payne,7
1400,shaka_smart,9
1401,billy_kennedy,20
1402,danny_kaspar,18
1403,chris_beard,3
1404,anthony_stewart,2
1405,tod_kowalczyk,16
1406,pat_skerry,7
1407,phil_cunningham,5
1408,ed_conroy,12
1409,frank_haith,14
1410,lew_hill,2
1411,mike_davis,18
1412,rob_ehsan,2
1413,jim_les,16
1414,russ_turner,8
1415,dennis_cutts,4
1415,justin_bell,1
1416,johnny_dawkins,10
1417,steve_alford,23
1418,bob_marlin,20
1419,keith_richard,17
1420,ryan_odom,2
1421,nicholas_mcdevitt,5
1422,wes_miller,7
1423,c_b_mcgrath,1
1424,marvin_menzies,11
1425,andy_enfield,7
1426,scott_cross,12
1427,steve_henson,2
1428,larry_krystkowiak,9
1429,tim_duryea,3
1430,mark_pope,3
1431,tim_floyd,24
1431,phil_johnson,5
1433,mike_rhoades,4
1434,matt_lottich,2
1435,bryce_drew,7
1436,john_becker,7
1437,jay_wright,24
1438,tony_bennett,12
1439,buzz_williams,11
1440,dan_earl,3
1441,larry_hunter,25
1442,bill_wright,4
1443,rick_stansbury,16
1444,steve_hawkins,15
1447,bashir_mason,6
1448,danny_manning,6
1449,mike_hopkins,1
1450,ernie_kent,23
1451,randy_rahe,12
1452,bob_huggins,33
1453,linc_darner,3
1454,pat_baldwin,1
1455,gregg_marshall,20
1456,tony_shaver,15
1457,pat_kelsey,6
1458,greg_gard,3
1459,mike_young,16
1460,scott_nagy,13
1461,allen_edwards,2
1462,chris_mack,9
1463,james_jones,19
1464,jerrod_calhoun,1
